.,assign,bool,comma,compl,const,div,do,domain,else,emit,eq,float,floatval,geq,gt,id,if,int,intval,lbrace,leq,lparen,lt,minus,mod,mult,not,plus,rand,rbrace,returns,rparen,sc,string,stringval,symtable,while,$,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNSIG,FUNCTION,EMIT,RAND,IF,IFELSE,WHILE,DOWHILE,ASSIGN,OTHERTYPE,DECLIDS,FUNTYPE,PARAMLIST,EXPR,STEPS,BRACESTMTS,BSTMTS,BSTMT,DECLLIST,SOLOSTMT,DECLTYPE,DECLID,BEXPR,AEXPR,FUNCALL,ARGLIST,BOOLS,PLUS,TIMES,SUM,PRODUCT,VALUE,UNARY,CAST
34,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-80,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,sh-81,,,,,sh-82,,,,,,,,,sh-83,sh-84,sh-85,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
35,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-86,sh-87,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
36,,,sh-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,sh-60,,sh-61,,,,sh-62,,,,sh-63,sh-64,,,sh-65,,sh-66,sh-67,,,sh-68,,sh-69,,,sh-70,sh-71,,,,,,,sh-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-89,sh-87,,,,sh-74,,sh-75,sh-76,sh-77,sh-78,sh-79
38,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1,R-1
39,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-2,sh-90,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
40,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-4,sh-91,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,sh-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,sh-1,,,sh-2,,sh-3,,,sh-4,,sh-5,,,,sh-6,sh-7,sh-8,,,,,,,,,,,sh-9,,,,,sh-10,,,sh-11,r-6,sh-93,sh-13,sh-14,sh-15,sh-16,sh-17,sh-18,sh-19,sh-20,sh-21,sh-22,sh-23,sh-24,,sh-25,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
