.,$,sc,bool,int,float,const,string,id,lparen,rparen,comma,returns,assign,lbrace,rbrace,if,else,while,do,lt,leq,eq,geq,gt,plus,minus,mult,div,mod,domain,intval,floatval,stringval,not,compl,emit,symtable,rand,MODULE,MODPARTS,GOTDECLLIST,GFTDECLLIST,FUNTYPE,OTHERTYPE,FUNSIG,PARAMLIST,FUNCTION,BRACESTMTS,BSTMTS,BSTMT,SOLOSTMT,STEPS,DECLTYPE,DECLID,DECLIDS,DECLLIST,ASSIGN,IF,IFELSE,WHILE,DOWHILE,EXPR,FUNCALL,ARGLIST,BOOLS,BEXPR,PLUS,TIMES,AEXPR,SUM,PRODUCT,VALUE,UNARY,CAST,EMIT,RAND
93,,,sh-62,sh-63,sh-64,,,sh-86,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-79,,sh-156,sh-81,sh-82,sh-83,sh-84,sh-85,,
94,,,,,,,,,,sh-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,r-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,sh-62,sh-63,sh-64,,,sh-86,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-79,,sh-158,sh-81,sh-82,sh-83,sh-84,sh-85,,
97,r-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,r-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,r-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,r-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,r-60,,,,,,,,,r-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,sh-1,sh-2,sh-3,,,,,r-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-160,,,sh-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,r-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,sh-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-162,,,sh-44,,,,,,,,,,,,,,,,,,,
105,,r-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,r-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,r-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,sh-163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,r-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,r-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,r-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,r-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,r-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,r-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,sh-62,sh-63,sh-64,,,sh-119,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-164,sh-77,,,sh-78,sh-79,,sh-80,sh-81,sh-82,sh-83,sh-84,sh-85,,
116,,,sh-62,sh-63,sh-64,,,sh-119,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-165,sh-77,,,sh-78,sh-79,,sh-80,sh-81,sh-82,sh-83,sh-84,sh-85,,
117,,,sh-62,sh-63,sh-64,,,sh-119,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-166,sh-77,,,sh-78,sh-79,,sh-80,sh-81,sh-82,sh-83,sh-84,sh-85,,
118,,,sh-62,sh-63,sh-64,,,sh-119,sh-66,r-77,r-77,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-168,sh-77,sh-169,,sh-78,sh-79,,sh-80,sh-81,sh-82,sh-83,sh-84,sh-85,,
119,,r-99,,,,,,r-99,sh-118,r-99,r-99,,,r-99,,r-99,,r-99,,r-99,r-99,r-99,r-99,r-99,r-99,r-99,r-99,r-99,r-99,,,,,,,r-99,,r-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,sh-170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,sh-62,sh-63,sh-64,,,sh-119,sh-66,,,,,,,,,,,,,,,,sh-67,sh-68,,,,sh-69,sh-70,sh-71,sh-72,sh-73,sh-74,,,,,,,,,,,,,,,,,,,,,,,,,,,sh-171,sh-77,,,sh-78,sh-79,,sh-80,sh-81,sh-82,sh-83,sh-84,sh-85,,
122,,r-103,,,,,,r-103,,r-103,r-103,,,r-103,,r-103,,r-103,,r-103,r-103,r-103,r-103,r-103,r-103,r-103,r-103,r-103,r-103,,,,,,,r-103,,r-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,r-104,,,,,,r-104,,r-104,r-104,,,r-104,,r-104,,r-104,,r-104,r-104,r-104,r-104,r-104,r-104,r-104,r-104,r-104,r-104,,,,,,,r-104,,r-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,r-102,,,,,,r-102,,r-102,r-102,,,r-102,,r-102,,r-102,,r-102,r-102,r-102,r-102,r-102,r-102,r-102,r-102,r-102,r-102,,,,,,,r-102,,r-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,r-72,,,,,,r-72,,r-72,r-72,,,r-72,,r-72,,r-72,,,,,,,,,,,,,,,,,,r-72,,r-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,r-78,r-78,r-78,,,r-78,r-78,,,,,,,,,,,,,,,,r-78,r-78,,,,r-78,r-78,r-78,r-78,r-78,r-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,r-79,r-79,r-79,,,r-79,r-79,,,,,,,,,,,,,,,,r-79,r-79,,,,r-79,r-79,r-79,r-79,r-79,r-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,r-80,r-80,r-80,,,r-80,r-80,,,,,,,,,,,,,,,,r-80,r-80,,,,r-80,r-80,r-80,r-80,r-80,r-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,r-81,r-81,r-81,,,r-81,r-81,,,,,,,,,,,,,,,,r-81,r-81,,,,r-81,r-81,r-81,r-81,r-81,r-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,r-82,r-82,r-82,,,r-82,r-82,,,,,,,,,,,,,,,,r-82,r-82,,,,r-82,r-82,r-82,r-82,r-82,r-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
